"Protein.names"	"Gene.names"	"FC"	"pval"	"adjpval"
"Protein kinase C alpha type"	"Prkca"	1.0287271647622	0.000251348646959642	0.00101377287607056
"Calcium uptake protein 2, mitochondrial"	"Micu2"	1.02935300809118	0.00043206648115218	0.00156249321331109
"Serum paraoxonase/arylesterase 2"	"Pon2"	1.03676275418192	0.018445234347254	0.0301604507569964
"Acetolactate synthase-like protein"	"Ilvbl"	1.08293801231734	0.0252726205378893	0.0392049626292898
"Galectin-1"	"Lgals1"	1.10190233612528	0.00144990849615449	0.0038558006161471
"RalBP1-associated Eps domain-containing protein 1"	"Reps1"	1.1057142892511	0.00581264527177764	0.0110760642186629
"Cyclin-dependent kinase 4"	"Cdk4"	1.10737677237345	0.00323097744088672	0.00717336275866594
"Death domain-containing protein CRADD"	"Cradd"	1.11188140637306	0.00194342029984095	0.00470307712561511
"Ribonuclease H2 subunit B"	"Rnaseh2b"	1.13007976252993	0.00629008104786181	0.0117092277967889
"Deoxynucleoside triphosphate triphosphohydrolase SAMHD1"	"Samhd1"	1.13455416471278	4.55340565074915e-06	7.34616111654195e-05
"MAP kinase-activated protein kinase 2"	"Mapkapk2"	1.15766316850977	0.0194132999976101	0.0315303261706151
"WD repeat-containing protein 6"	"Wdr6"	1.15821669750221	0.00537940912850501	0.0104422222461376
"Golgi apparatus protein 1"	"Glg1"	1.16530888541381	0.0164157050015975	0.0270244939482081
"Protein NEDD1"	"Nedd1"	1.16709693472277	0.00267443945749714	0.00616394617823149
"Kinectin"	"Ktn1"	1.1703286580608	0.032613718103364	0.0478231105359818
"Interferon-inducible GTPase 1"	"Iigp1"	1.1710398357577	0.00165198549831311	0.00412144835661622
"Nuclear factor NF-kappa-B p100 subunit;Nuclear factor NF-kappa-B p52 subunit"	"Nfkb2"	1.17344441343047	1.63623302117127e-06	4.9496048890431e-05
"Cyclin-dependent kinase 6"	"Cdk6"	1.18616409797584	0.0139391361223893	0.0237554291663255
"Delta-aminolevulinic acid dehydratase"	"Alad"	1.18629327843904	0.000152068189952242	0.000694349093744199
"Ras-related protein Rab-19"	"Rab19"	1.18911384651126	0.00557136764493038	0.0107005632545488
"1-acyl-sn-glycerol-3-phosphate acyltransferase gamma"	"Agpat3"	1.18955282755003	0.000783059052830444	0.0025608147403374
"Latexin"	"Lxn"	1.19623641224096	0.0029560662752882	0.006623778135368
"Stromal interaction molecule 2"	"Stim2"	1.21010715624254	0.00412240313346991	0.00838337443949343
"Probable palmitoyltransferase ZDHHC20"	"Zdhhc20"	1.21493213334963	0.000841772162041397	0.00261165209248741
"DNA primase large subunit"	"Prim2"	1.224404875438	0.00179926885909738	0.0044430924887915
"Sulfite oxidase, mitochondrial"	"Suox"	1.22905878014636	0.000275458930630846	0.00109280428217483
"Anaphase-promoting complex subunit 1"	"Anapc1"	1.24986673346097	0.0249616323457379	0.0392049626292898
"Neuroplastin"	"Nptn"	1.25904401550241	0.0109868306788073	0.0189915216019383
"Platelet-activating factor acetylhydrolase IB subunit gamma"	"Pafah1b3"	1.26291229046825	6.31274869895613e-06	8.20868335802857e-05
"Plasminogen receptor (KT)"	"Plgrkt"	1.31315445375881	8.46883942418556e-07	3.34081567549629e-05
"Protein FAM107B"	"Fam107b"	1.32499516979535	0.0257996266565438	0.0395326393433372
"CD44 antigen"	"Cd44"	1.33493985882929	0.00607590159794452	0.0113982029976944
"Unconventional myosin-XVIIIa"	"Myo18a"	1.34988459223474	0.000117429072495179	0.000557212461643788
"Single Ig IL-1-related receptor"	"Sigirr"	1.3863392361575	0.000195451267264945	0.000859985575965758
"Protein cornichon homolog 4"	"Cnih4"	1.39336044334893	0.0268445015984243	0.0408576690994885
"T-cell surface antigen CD2"	"Cd2"	1.39444400005708	0.00133713333327103	0.00366482999472443
"T-lymphoma invasion and metastasis-inducing protein 1"	"Tiam1"	1.42915628856417	0.00199795257595821	0.00478717349883057
"Golgi-associated plant pathogenesis-related protein 1"	"Glipr2"	1.4310298335674	4.3656914624771e-06	7.34616111654195e-05
"Leucine-rich repeat-containing protein 16C"	"Rltpr"	1.43450415065276	0.0280984946754963	0.0419742945152476
"Phosphatidylinositide phosphatase SAC2"	"Inpp5f"	1.45132479391874	0.0013478093782251	0.00366482999472443
"Three-prime repair exonuclease 1"	"Trex1"	1.45875725182891	0.00404863681752617	0.0083031365240791
"SH3 domain-binding glutamic acid-rich-like protein"	"Sh3bgrl"	1.48605915611718	0.000400663283805531	0.00151500804188966
"Cytosolic acyl coenzyme A thioester hydrolase"	"Acot7"	1.48675811506885	0.00202757531804789	0.00481052183301559
"Leupaxin"	"Lpxn"	1.48933458022459	9.29558569385734e-05	0.000449906347582695
"Lymphocyte-specific helicase"	"Hells"	1.49042154754355	0.0220972257013549	0.035181109340315
"Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase"	"Gphn"	1.50164044470433	3.62333713536413e-05	0.000280459963613105
"Tumor necrosis factor receptor superfamily member 6"	"Fas"	1.50517530644319	0.00365786160334525	0.00776493428078553
"Guanylate-binding protein 4"	"Gbp4"	1.51075571455059	5.03763174913268e-05	0.000330926427521901
"Plasma membrane calcium-transporting ATPase 2"	"Atp2b2"	1.52611753955497	0.007325253237923	0.013328656267499
"Oxysterol-binding protein-related protein 3"	"Osbpl3"	1.54881863308957	0.0220786894948314	0.035181109340315
"Ribosome-binding protein 1"	"Rrbp1"	1.55098932175785	0.0010916693707004	0.00322175594767678
"Cytoplasmic FMR1-interacting protein 1"	"Cyfip1"	1.55971664420992	0.00972840660735855	0.016937225891948
"Aldose 1-epimerase"	"Galm"	1.56268348797142	0.000838783224822004	0.00261165209248741
"Proteolipid protein 2"	"Plp2"	1.63930002265275	2.40629598129213e-06	5.82323627472696e-05
"Dihydrofolate reductase"	"Dhfr"	1.65849444888621	6.39478618791566e-05	0.00036846148987514
"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial"	"Cpox"	1.66157816881769	0.00125513134372545	0.00355294022713354
"Proto-oncogene c-Rel"	"Rel"	1.66524628223036	5.58910306992435e-05	0.000346811011005562
"Basigin"	"Bsg"	1.70393449865906	7.55301119817937e-05	0.000392070500361836
"Signal peptidase complex catalytic subunit SEC11C"	"Sec11c"	1.7177919564123	0.000188851158340296	0.000846332968858366
"Acyl-coenzyme A thioesterase 8"	"Acot8"	1.72659772210263	0.000978684004016321	0.00296051911214937
"Peroxiredoxin-4"	"Prdx4"	1.75352035398702	0.0231116952180111	0.036555753220645
"Gamma-glutamyl hydrolase"	"Ggh"	1.77877674487353	0.00281461790017792	0.0064005718165592
"Fumarylacetoacetase"	"Fah"	1.78508965521305	0.00144243639195651	0.0038558006161471
"Tumor protein p53-inducible protein 11"	"Trp53i11"	1.80483811290468	0.00383405263083497	0.00806818031880055
"2,4-dienoyl-CoA reductase, mitochondrial"	"Decr1"	1.82476069968899	0.00114936638170306	0.00335116463098963
"2-deoxynucleoside 5-phosphate N-hydrolase 1"	"Dnph1"	1.86242983027056	0.00700711746137715	0.0129444459973532
"Huntingtin-interacting protein 1-related protein"	"Hip1r"	1.88163114360259	0.00152617908605434	0.00396327537897321
"Signaling lymphocytic activation molecule"	"Slamf1"	1.91294500305132	0.00404157135480189	0.0083031365240791
"Nesprin-3"	"Syne3"	1.9974458424612	0.000469349529112433	0.00164612443543781
"Tripartite motif-containing protein 14"	"Trim14"	2.05783971006825	8.34624352388812e-05	0.000420789777662693
"Dihydropyrimidinase-related protein 1"	"Crmp1"	2.06671649311312	0.00345319274858638	0.00739533314299029
"Structural maintenance of chromosomes protein 4"	"Smc4"	2.07669574230812	0.000442958494546414	0.00157641111294459
"Fatty acid-binding protein, epidermal"	"Fabp5"	2.08162949094823	0.00394154043113333	0.0082228688304678
"Sorting nexin-18"	"Snx18"	2.13249770540359	0.000716248370710524	0.00240739035711037
"Zinc finger protein Eos"	"Ikzf4"	2.13662912845711	0.00058739259782538	0.00200209871371468
"Inverted formin-2"	"Inf2"	2.16581870151504	0.00334267983974792	0.00728764433530627
"Annexin A2"	"Anxa2"	2.17471836342952	6.47837210811372e-07	3.34081567549629e-05
"Endonuclease domain-containing 1 protein"	"Endod1"	2.19333369964057	0.00119272826808491	0.00343619334376842
"Calcium-binding mitochondrial carrier protein SCaMC-1"	"Slc25a24"	2.19990861308619	0.00129242342581021	0.00359501688558702
"Lysocardiolipin acyltransferase 1"	"Lclat1"	2.25524184278921	0.00948292455571168	0.0166294763947987
"Annexin A4"	"Anxa4"	2.27516371377125	0.00039135571853754	0.00150330291882674
"Reticulocalbin-1"	"Rcn1"	2.32400350856324	0.000755565773658597	0.00250475229075864
"Guanylate-binding protein 5"	"Gbp5"	2.32846351251272	1.69862181479125e-05	0.000154407566618923
"Gamma-enolase"	"Eno2"	2.40390160772101	0.00937618056126666	0.0165623043490988
"Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12"	"Casp3"	2.42611038135635	7.61459236239929e-05	0.000392070500361836
"Ribonucleoside-diphosphate reductase large subunit"	"Rrm1"	2.42670834149833	0.000928625385849109	0.00284464991614537
"Structural maintenance of chromosomes protein 2"	"Smc2"	2.49999264193544	0.000428063565543898	0.00156249321331109
"Sperm-egg fusion protein Juno"	"Folr4"	2.56750760002509	0.00877108211756438	0.0157229768329673
"Condensin complex subunit 1"	"Ncapd2"	2.73803579253816	0.00283000489409849	0.0064005718165592
"DNA ligase 1"	"Lig1"	2.7383169718323	3.38376606749691e-06	7.34616111654195e-05
"Macrophage-capping protein"	"Capg"	2.75936236191351	1.15501527282606e-11	2.79513696023907e-09
"Rab GTPase-activating protein 1-like"	"Rabgap1l"	2.93107830027659	0.00103335804933093	0.00308731664121092
"Caspase-1;Caspase-1 subunit p20;Caspase-1 subunit p10"	"Casp1"	2.98346656630919	5.45774206097334e-05	0.000346811011005562
"Integrin beta-1"	"Itgb1"	3.0259740446105	0.000432591096247284	0.00156249321331109
"Neuropilin-1"	"Nrp1"	3.05264670229905	0.00539370983788098	0.0104422222461376
"DNA topoisomerase 2-alpha"	"Top2a"	3.20952549686919	0.00333967119365362	0.00728764433530627
"Tumor necrosis factor receptor superfamily member 4"	"Tnfrsf4"	3.48292989381988	0.00159508010497634	0.00402093109796118
"P2X purinoceptor 7"	"P2rx7"	3.4860003193795	7.33698716251059e-05	0.000392070500361836
"Interferon-induced very large GTPase 1"	"Gvin1"	3.51088779390814	5.61237109184778e-06	7.98937531898331e-05
"Glutathione S-transferase A4"	"Gsta4"	3.57503797798326	0.00146689819543122	0.00385858003580822
"Interleukin-2 receptor subunit alpha"	"Il2ra"	3.66859760795484	0.000801835912742017	0.00258725721178091
"Endoplasmic reticulum-Golgi intermediate compartment protein 1"	"Ergic1"	3.7464460020654	1.53117797815496e-05	0.0001482180282854
"Protein S100-A4"	"S100a4"	3.82734721093461	0.0292397286325217	0.0434111308531918
"5-nucleotidase"	"Nt5e"	3.89393284015022	3.82445404926962e-05	0.000280459963613105
"Protein S100-A10"	"S100a10"	3.9075664784604	5.59469031568566e-06	7.98937531898331e-05
"Coronin-2A"	"Coro2a"	4.70914900176962	5.9922084315537e-05	0.000362528610108999
"Beta-enolase"	"Eno3"	4.82782191272362	4.07197659802785e-06	7.34616111654195e-05
"Ladinin-1"	"Lad1"	4.99325051823545	0.00013685648351975	0.000636909019457297
"Zinc finger protein Helios"	"Ikzf2"	5.43084922464319	6.78403583308146e-06	8.20868335802857e-05
"Glutathione S-transferase omega-1"	"Gsto1"	5.45797794001592	8.71049076375492e-07	3.34081567549629e-05
"Forkhead box protein P3"	"Foxp3"	6.09452400055656	1.10898078620015e-05	0.000121987886482016
"Protein Niban"	"Fam129a"	6.31301418789246	6.67595639510076e-05	0.000375716615724276
