"Protein.names"	"Gene.names"	"FC"	"pval"	"adjpval"
"WASH complex subunit 7"	"Kiaa1033"	-1.21264543603375	0.0213182378147829	0.0311574244985289
"Serine--tRNA ligase, mitochondrial"	"Sars2"	-1.19924116573424	0.0349520999056899	0.0453726017409266
"Ran-binding protein 10"	"Ranbp10"	-1.18829416900348	0.00464518683100699	0.0080235045262848
"Nucleoside diphosphate kinase, mitochondrial"	"Nme4"	-1.17003689026411	0.0321835828513463	0.043117748820073
"Interferon-related developmental regulator 1"	"Ifrd1"	-1.16508751815429	0.00118472561572779	0.00287915876380357
"Embigin"	"Emb"	-1.16060438971862	0.0387865394839534	0.0482523020961087
"Inosine-5-monophosphate dehydrogenase 1"	"Impdh1"	-1.147449771971	0.00240039087035434	0.00501681691904057
"Rho guanine nucleotide exchange factor 18"	"Arhgef18"	-1.14660186069604	0.000212603573802056	0.000793466909368387
"Acetyl-coenzyme A synthetase, cytoplasmic"	"Acss2"	-1.11612548952054	0.000830833088490767	0.00233740925317065
"Low density lipoprotein receptor adapter protein 1"	"Ldlrap1"	-1.11232312795925	0.0105573496019363	0.0162241622559168
"EH domain-containing protein 3"	"Ehd3"	-1.11090495917703	4.11420415086879e-06	6.34441187337714e-05
"CCR4-NOT transcription complex subunit 7"	"Cnot7"	-1.09720722585049	0.035456885149615	0.0454631226765003
"Probable glutamate--tRNA ligase, mitochondrial"	"Ears2"	-1.08886815657998	0.0342734581548408	0.0447697047147608
"DNA-binding protein Ikaros"	"Ikzf1"	-1.08479032402653	0.000208871507867194	0.000793466909368387
"Mitochondrial import inner membrane translocase subunit Tim8 A"	"Timm8a1"	-1.07423380805839	0.02581056618284	0.0359627222147571
"Sodium/potassium-transporting ATPase subunit beta-1"	"Atp1b1"	-1.06207383780382	8.76361948026973e-05	0.000398173145951386
"Translocating chain-associated membrane protein 1"	"Tram1"	-1.05570515987018	0.0365579793052151	0.0463067737866057
"MAP kinase-activating death domain protein"	"Madd"	-1.0458000106488	6.35188165619875e-05	0.000334127578318593
"Stromal interaction molecule 1"	"Stim1"	-1.04390593685109	1.7227290490541e-05	0.000129879666463361
"Dynein light chain Tctex-type 1"	"Dynlt1"	-1.03449392991957	0.0251409187274088	0.0355030541488408
"G protein-coupled receptor kinase 6"	"Grk6"	-1.02892497260508	0.000249303508566143	0.000890370630755342
"Glycerol-3-phosphate dehydrogenase, mitochondrial"	"Gpd2"	-1.02316128664217	8.36789418669637e-06	8.32804707152163e-05
"Protein phosphatase 1H"	"Ppm1h"	-1.01275212465163	0.0241269280763182	0.0345378627941816
"Eukaryotic initiation factor 4A-II"	"Eif4a2"	-1.00329164542656	3.79941370917249e-05	0.000248072677158855
"Ras-related protein Rab-19"	"Rab19"	1.01165279452579	0.00372951811549615	0.00681643217232582
"DNA dC->dU-editing enzyme APOBEC-3"	"Apobec3"	1.01379750836612	0.000552812594183743	0.00167446133600583
"CD48 antigen"	"Cd48"	1.01846468362473	7.41703646091142e-05	0.000347134584456089
"Cyclin-dependent kinase 4"	"Cdk4"	1.02620193647496	0.00233429699305594	0.00494255996938296
"Protein kinase C alpha type"	"Prkca"	1.0287271647622	0.000251348646959642	0.000890370630755342
"Acetolactate synthase-like protein"	"Ilvbl"	1.05472225171746	0.0225279673827678	0.0326968415486005
"MAP kinase-activated protein kinase 2"	"Mapkapk2"	1.07990867998181	0.0204666171231969	0.0301234012587898
"Death domain-containing protein CRADD"	"Cradd"	1.09567684708217	0.00176351979405319	0.00392101741443741
"Galectin-1"	"Lgals1"	1.10190233612528	0.00144990849615449	0.00340484129995829
"RalBP1-associated Eps domain-containing protein 1"	"Reps1"	1.1057142892511	0.00581264527177764	0.00964161001429782
"Ribonuclease H2 subunit B"	"Rnaseh2b"	1.10936904218177	0.00574470318173837	0.00960514371986656
"Interferon-inducible GTPase 1"	"Iigp1"	1.11870631430301	0.00106115470198962	0.00268422233501627
"WD repeat-containing protein 6"	"Wdr6"	1.11971964344557	0.00363390978657218	0.00681643217232582
"Deoxynucleoside triphosphate triphosphohydrolase SAMHD1"	"Samhd1"	1.13455416471278	4.55340565074915e-06	6.34441187337714e-05
"Probable palmitoyltransferase ZDHHC20"	"Zdhhc20"	1.14201074376964	0.000386315744440236	0.0012634542293783
"Stromal interaction molecule 2"	"Stim2"	1.1432180180703	0.00371416349066157	0.00681643217232582
"Neuroplastin"	"Nptn"	1.147667583731	0.00955093573281614	0.0151223149102922
"Golgi apparatus protein 1"	"Glg1"	1.16530888541381	0.0164157050015975	0.0245063024666705
"1-acyl-sn-glycerol-3-phosphate acyltransferase gamma"	"Agpat3"	1.1663915887431	0.000946196267776882	0.0024719377495671
"Nuclear factor NF-kappa-B p100 subunit;Nuclear factor NF-kappa-B p52 subunit"	"Nfkb2"	1.17344441343047	1.63623302117127e-06	4.27465876780995e-05
"Anaphase-promoting complex subunit 1"	"Anapc1"	1.18224003210359	0.0177355798310629	0.0262889091112918
"Delta-aminolevulinic acid dehydratase"	"Alad"	1.18629327843904	0.000152068189952242	0.00061119714807728
"Latexin"	"Lxn"	1.18700523630767	0.00269622243303458	0.00539779788518864
"Destrin"	"Dstn"	1.19480596540989	0.035446108161264	0.0454631226765003
"Protein phosphatase inhibitor 2"	"Ppp1r2"	1.19720078155531	0.0325922852571798	0.0433871822850356
"Importin subunit alpha-1"	"Kpna2"	1.20182881752465	0.0304909698410672	0.0411136303018261
"DNA primase large subunit"	"Prim2"	1.20384780149774	0.00250748097850737	0.0051378776912553
"Tetratricopeptide repeat protein 39B"	"Ttc39b"	1.21945461240159	0.0339073356171763	0.0445700197735211
"T-lymphoma invasion and metastasis-inducing protein 1"	"Tiam1"	1.22318710027357	0.00152520393377247	0.00354186246842718
"Sulfite oxidase, mitochondrial"	"Suox"	1.22905878014636	0.000275458930630846	0.00095951527503078
"Tumor necrosis factor receptor superfamily member 6"	"Fas"	1.24711750650807	0.00293901146107094	0.00579484335248894
"Phosphatidylinositide phosphatase SAC2"	"Inpp5f"	1.24938550496847	0.00249576863740644	0.0051378776912553
"CD44 antigen"	"Cd44"	1.25664356415084	0.00485756962911428	0.00825391912589337
"Platelet-activating factor acetylhydrolase IB subunit gamma"	"Pafah1b3"	1.26291229046825	6.31274869895613e-06	7.65478266384053e-05
"Protein FAM107B"	"Fam107b"	1.28462384662249	0.0251056604419261	0.0355030541488408
"Lymphocyte-specific helicase"	"Hells"	1.28503561803705	0.0271781385024334	0.0373699404408459
"Plasma membrane calcium-transporting ATPase 2"	"Atp2b2"	1.30708830737148	0.00775659115898254	0.0125668802498244
"Plasminogen receptor (KT)"	"Plgrkt"	1.31315445375881	8.46883942418556e-07	2.88524990156498e-05
"Oxysterol-binding protein-related protein 3"	"Osbpl3"	1.31361779445707	0.0257257260763079	0.0359627222147571
"Leucine-rich repeat-containing protein 16C"	"Rltpr"	1.32893299837863	0.0267041090956413	0.0369613165628412
"Unconventional myosin-XVIIIa"	"Myo18a"	1.34988459223474	0.000117429072495179	0.00050087094186719
"T-cell surface antigen CD2"	"Cd2"	1.37142682103992	0.0010368360870028	0.0026752931133776
"Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase"	"Gphn"	1.37631989035788	2.14600035761009e-05	0.00014950469158017
"Single Ig IL-1-related receptor"	"Sigirr"	1.37824405514146	0.000167644845215128	0.000648847641665957
"Three-prime repair exonuclease 1"	"Trex1"	1.38482562305049	0.00448212767920117	0.00782761506301289
"Basigin"	"Bsg"	1.40194616578168	0.000142727874783753	0.000584904428035381
"Golgi-associated plant pathogenesis-related protein 1"	"Glipr2"	1.4310298335674	4.3656914624771e-06	6.34441187337714e-05
"Cytosolic acyl coenzyme A thioester hydrolase"	"Acot7"	1.46897178136037	0.00162464207691971	0.00369076297908934
"Acyl-coenzyme A thioesterase 8"	"Acot8"	1.46968167077788	0.000871428391330773	0.0023653056336121
"Cytoplasmic FMR1-interacting protein 1"	"Cyfip1"	1.47350164005599	0.0105361871366045	0.0162241622559168
"SH3 domain-binding glutamic acid-rich-like protein"	"Sh3bgrl"	1.48605915611718	0.000400663283805531	0.00128828655869778
"Leupaxin"	"Lpxn"	1.48933458022459	9.29558569385734e-05	0.000406056454836001
"Hepatoma-derived growth factor-related protein 3"	"Hdgfrp3"	1.49770871644988	0.0393640725210927	0.0486810127627715
"Guanylate-binding protein 4"	"Gbp4"	1.51075571455059	5.03763174913268e-05	0.000292462509880203
"Ribosome-binding protein 1"	"Rrbp1"	1.55098932175785	0.0010916693707004	0.00268422233501627
"Aldose 1-epimerase"	"Galm"	1.56268348797142	0.000838783224822004	0.00233740925317065
"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial"	"Cpox"	1.5954189263959	0.000798224233848759	0.00228532691608754
"Signal peptidase complex catalytic subunit SEC11C"	"Sec11c"	1.60275524386134	0.000133517356308519	0.000558102549369611
"Peroxiredoxin-4"	"Prdx4"	1.63974475842154	0.0239078659481482	0.0344603033321585
"Dihydrofolate reductase"	"Dhfr"	1.65849444888621	6.39478618791566e-05	0.000334127578318593
"Fumarylacetoacetase"	"Fah"	1.65891609706081	0.00109058657099204	0.00268422233501627
"2-deoxynucleoside 5-phosphate N-hydrolase 1"	"Dnph1"	1.66415383424339	0.0125661684464601	0.0191702861701472
"Proto-oncogene c-Rel"	"Rel"	1.66524628223036	5.58910306992435e-05	0.000315708795030862
"Signaling lymphocytic activation molecule"	"Slamf1"	1.6977683900263	0.00368576206363597	0.00681643217232582
"Gamma-glutamyl hydrolase"	"Ggh"	1.69993615485039	0.0026047939278372	0.00528545563998033
"Tumor protein p53-inducible protein 11"	"Trp53i11"	1.79560693697138	0.00375066842017928	0.00681643217232582
"2,4-dienoyl-CoA reductase, mitochondrial"	"Decr1"	1.80697436598052	0.000925077726576509	0.00245674310939828
"Huntingtin-interacting protein 1-related protein"	"Hip1r"	1.81508431233034	0.00178267476155529	0.00392188447542164
"Tumor necrosis factor receptor superfamily member 18"	"Tnfrsf18"	1.92122045662742	0.0371299465659619	0.0467479447728075
"Endonuclease domain-containing 1 protein"	"Endod1"	1.9274080509098	0.00234121261707614	0.00494255996938296
"Zinc finger protein Eos"	"Ikzf4"	1.94807219146206	0.000582960189942528	0.00174055256711412
"Nesprin-3"	"Syne3"	1.96923008186133	0.000495074141717396	0.00152162493557258
"Tripartite motif-containing protein 14"	"Trim14"	2.0081885448688	7.47418961747559e-05	0.000347134584456089
"Dihydropyrimidinase-related protein 1"	"Crmp1"	2.00855883623178	0.00438690163949392	0.00780475375528405
"Fatty acid-binding protein, epidermal"	"Fabp5"	2.04531854933232	0.0032349018726853	0.00626013417954841
"Structural maintenance of chromosomes protein 4"	"Smc4"	2.07669574230812	0.000442958494546414	0.00138176605015225
"Sorting nexin-18"	"Snx18"	2.07756514029779	0.000867179752965908	0.0023653056336121
"Lysocardiolipin acyltransferase 1"	"Lclat1"	2.12976081388818	0.0100046953652685	0.0157216641454219
"Inverted formin-2"	"Inf2"	2.13458186250375	0.00378929825513052	0.00682727013208861
"Annexin A2"	"Anxa2"	2.17471836342952	6.47837210811372e-07	2.88524990156498e-05
"Calcium-binding mitochondrial carrier protein SCaMC-1"	"Slc25a24"	2.19990861308619	0.00129242342581021	0.0031047873102797
"Annexin A4"	"Anxa4"	2.2324859319294	0.000333516789324221	0.00114270506506168
"Reticulocalbin-1"	"Rcn1"	2.27568107241799	0.000607862777397986	0.00178934254191802
"Guanylate-binding protein 5"	"Gbp5"	2.32846351251272	1.69862181479125e-05	0.000129879666463361
"Sperm-egg fusion protein Juno"	"Folr4"	2.37609008363869	0.00811334101786232	0.0130437559441017
"Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12"	"Casp3"	2.41568095446495	7.03040522807829e-05	0.000347134584456089
"Ribonucleoside-diphosphate reductase large subunit"	"Rrm1"	2.42670834149833	0.000928625385849109	0.00245674310939828
"Structural maintenance of chromosomes protein 2"	"Smc2"	2.49999264193544	0.000428063565543898	0.00135553462422234
"Condensin complex subunit 1"	"Ncapd2"	2.62145979160278	0.00271181233466415	0.00539779788518864
"DNA ligase 1"	"Lig1"	2.7383169718323	3.38376606749691e-06	6.34441187337714e-05
"Macrophage-capping protein"	"Capg"	2.75936236191351	1.15501527282606e-11	2.41398192020647e-09
"Neuropilin-1"	"Nrp1"	2.89046978585333	0.00484915160353091	0.00825391912589337
"Caspase-1;Caspase-1 subunit p20;Caspase-1 subunit p10"	"Casp1"	2.90304942162139	7.29349136899722e-05	0.000347134584456089
"Rab GTPase-activating protein 1-like"	"Rabgap1l"	2.90406079063481	0.00108774932582098	0.00268422233501627
"Integrin beta-1"	"Itgb1"	3.01456688810431	0.000386895075024934	0.0012634542293783
"P2X purinoceptor 7"	"P2rx7"	3.17153517801714	9.3256984842718e-05	0.000406056454836001
"DNA topoisomerase 2-alpha"	"Top2a"	3.20952549686919	0.00333967119365362	0.00640358971994134
"Tumor necrosis factor receptor superfamily member 4"	"Tnfrsf4"	3.2227132171926	0.00180396683585744	0.00392738613223129
"Glutathione S-transferase A4"	"Gsta4"	3.48574012001437	0.00134716619573709	0.00319951971487558
"Interleukin-2 receptor subunit alpha"	"Il2ra"	3.49325353997846	0.000672395381649675	0.00195181437173308
"Interferon-induced very large GTPase 1"	"Gvin1"	3.51088779390814	5.61237109184778e-06	7.33115973872616e-05
"Endoplasmic reticulum-Golgi intermediate compartment protein 1"	"Ergic1"	3.71013506044948	1.01094286489491e-05	9.60395721650166e-05
"Protein S100-A4"	"S100a4"	3.73472803160938	0.0358961862061063	0.0457457494943671
"Interferon regulatory factor 4"	"Irf4"	3.82400221010504	0.0383983849889084	0.0480554638483944
"Protein S100-A10"	"S100a10"	3.85328441579968	3.35778903499975e-06	6.34441187337714e-05
"5-nucleotidase"	"Nt5e"	3.88470166421693	3.9169370077714e-05	0.000248072677158855
"Coronin-2A"	"Coro2a"	4.60412422538407	6.2235720151297e-05	0.000334127578318593
"Beta-enolase"	"Eno3"	4.82782191272362	4.07197659802785e-06	6.34441187337714e-05
"Ladinin-1"	"Lad1"	4.91593708931649	0.000155570210636525	0.000613474981566675
"Zinc finger protein Helios"	"Ikzf2"	5.18162596921069	6.95889333076412e-06	7.65478266384053e-05
"Glutathione S-transferase omega-1"	"Gsto1"	5.41835502290986	7.59594406691496e-07	2.88524990156498e-05
"Forkhead box protein P3"	"Foxp3"	5.89084286267328	7.50289962213599e-06	7.84053010513211e-05
"Protein Niban"	"Fam129a"	6.31301418789246	6.67595639510076e-05	0.00034031094794538
